geometry,addr:city,addr:country,addr:housenumber,addr:street,building,building:levels,roof:levels,roof:shape,wikidata,name,addr:postcode,amenity,contact:email,contact:phone,contact:website,official_name,opening_hours,operator:type,ref,abandoned,leisure,operator,sport,building:cladding,addr2:street,old_name,disused,source:addr,abandoned:shop,description,building:material,changing_table,check_date,fee,operator:wikidata,website,wheelchair,power,information,tourism,indoor_seating,outdoor_seating,payment:credit_cards,payment:debit_cards,type,building:architecture
"POLYGON ((29.7832938 59.9836744, 29.7838822 59.983555, 29.7835598 59.9831577, 29.783096 59.9825861, 29.779732 59.9832692, 29.7799902 59.9835874, 29.7798373 59.9836185, 29.7799354 59.9837395, 29.7796356 59.9838003, 29.7800655 59.98433, 29.7832938 59.9836744), (29.7804288 59.9832612, 29.7828185 59.9827797, 29.7833866 59.9834853, 29.7809969 59.9839668, 29.7804288 59.9832612))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7831664 59.9874209, 29.7828379 59.9874841, 29.7842224 59.9892842, 29.7835414 59.9894152, 29.783866 59.9898373, 29.7845464 59.9897063, 29.7853306 59.9907257, 29.7856596 59.9906624, 29.7831664 59.9874209), (29.7838375 59.9894773, 29.7842877 59.9893883, 29.78447 59.9896189, 29.7840198 59.9897079, 29.7838375 59.9894773))",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7685444 59.9885506, 29.7688683 59.9884859, 29.7692665 59.9884063, 29.7693067 59.9884566, 29.7696072 59.9883966, 29.7692733 59.9879838, 29.7692637 59.987972, 29.7687851 59.988072, 29.768241 59.9881856, 29.7685444 59.9885506), (29.7686263 59.9882183, 29.7688701 59.9881684, 29.7690695 59.9881276, 29.7692111 59.9883007, 29.7687679 59.9883914, 29.7686263 59.9882183))",Кронштадт,RU,1,Коммунистическая улица,yes,3,,hipped,Q117448077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7671066 59.9884181, 29.7669793 59.9884429, 29.7673248 59.9888702, 29.7674446 59.9888466, 29.7671066 59.9884181))",Кронштадт,,1Ф,Коммунистическая улица,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7707858 59.9911832, 29.7707681 59.9911869, 29.7708248 59.9912557, 29.771117 59.9911953, 29.7711064 59.9911825, 29.7711441 59.9911747, 29.7717084 59.9910582, 29.7717179 59.9910698, 29.7719116 59.9910298, 29.7718452 59.9909493, 29.7718654 59.9909452, 29.7718833 59.9909388, 29.7718922 59.9909287, 29.7718895 59.9909178, 29.771876 59.9909091, 29.7718555 59.9909051, 29.7718338 59.9909069, 29.7717879 59.9909164, 29.7717546 59.9908761, 29.7716859 59.9908902, 29.7710961 59.9901759, 29.7711243 59.9901701, 29.7710721 59.9901068, 29.7710634 59.9900962, 29.7710459 59.9900751, 29.7710285 59.990054, 29.7710198 59.9900435, 29.7709675 59.9899802, 29.7707787 59.9900192, 29.770839 59.9900922, 29.7708571 59.9901141, 29.7708738 59.9901344, 29.7709355 59.9902091, 29.7709106 59.9902143, 29.7709643 59.9902793, 29.7710699 59.9904072, 29.7711733 59.9905324, 29.7712771 59.9906582, 29.7713811 59.9907841, 29.7714891 59.990915, 29.7715431 59.9909803, 29.771486 59.9909921, 29.7714704 59.9909733, 29.7711862 59.9910319, 29.7709112 59.9910887, 29.7708908 59.9910724, 29.7708591 59.9910616, 29.7708213 59.991058, 29.7707838 59.9910622, 29.7707552 59.9910724, 29.770736 59.991087, 29.7707289 59.9911041, 29.7707347 59.9911214, 29.7707858 59.9911832))",,,5,Коммунистическая улица,apartments,6,,gabled,Q117448225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,constructivism
"POLYGON ((29.7724801 59.9904569, 29.7726702 59.9904177, 29.7729896 59.9903519, 29.7733141 59.990285, 29.7734991 59.9902468, 29.7733956 59.9901211, 29.7723765 59.9903312, 29.7724801 59.9904569))",Кронштадт,RU,1,Манежный переулок,yes,4,,,,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7762994 59.9866242, 29.7762635 59.9866312, 29.7761209 59.9866589, 29.77616 59.9867092, 29.7763026 59.9866815, 29.7763384 59.9866745, 29.7765051 59.9868892, 29.776523 59.9868857, 29.776553 59.9869244, 29.7768273 59.9868711, 29.7767132 59.9867242, 29.7766275 59.9866138, 29.7767781 59.9865845, 29.7767422 59.9865382, 29.7765915 59.9865675, 29.7762994 59.9866242))",Кронштадт,RU,8 к3,Петровская улица,apartments,3,,hipped,Q117448105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,
"POLYGON ((29.7701712 59.9894179, 29.7703913 59.989372, 29.7708961 59.9899767, 29.770676 59.9900226, 29.7705406 59.9898604, 29.7702963 59.9895677, 29.7701712 59.9894179))",Кронштадт,RU,3,Коммунистическая улица,apartments,2,0,hipped,Q117448075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7721159 59.9907254, 29.7723412 59.9906793, 29.7724337 59.9907881, 29.7724696 59.9907806, 29.7726085 59.9907517, 29.7728756 59.9906961, 29.7731428 59.9906406, 29.7734099 59.990585, 29.773677 59.9905295, 29.7739441 59.9904739, 29.7742113 59.9904184, 29.7744784 59.9903628, 29.7746469 59.9903277, 29.7746269 59.9903027, 29.7745669 59.9902281, 29.7748226 59.9901767, 29.7749728 59.9903636, 29.7722739 59.990916, 29.7721159 59.9907254))",Кронштадт,RU,2,Манежный переулок,apartments,5,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((29.7711628 59.9857231, 29.7715191 59.9856536, 29.7716533 59.9858143, 29.7718793 59.985769, 29.7728313 59.986943, 29.7722464 59.9870592, 29.7711628 59.9857231))",,,2,Макаровская улица,yes,2,,hipped,Q110369925,Арсенал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
