geometry,check_date:crossing,crossing,crossing:island,highway,tactile_paving,bench,bin,bus,lit,name,public_transport,shelter,direction,crossing:markings,surface,lanes,maxspeed,oneway,postal_code,hgv,maxweight,smoothness,access,have_riverbank,bridge,layer,wikidata,vehicle,old_name,sidewalk,parking:left,handrail,incline,ramp,bridge:movable,priority,footway,living_street,covered,maxheight,note,tunnel,service,step_count,area,parking:right
POINT (29.7727696 59.9872955),2020-12-17,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7736142 59.9880357),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7714776 59.9874896),,,,bus_stop,no,yes,yes,yes,yes,Петровский парк,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7757168 59.9866638),,,,bus_stop,no,yes,yes,yes,yes,Макаровские ворота,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7776773 59.9870851),,,,bus_stop,no,yes,yes,yes,yes,Летний сад,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7829848 59.9861706),,,,bus_stop,no,yes,yes,yes,yes,"Петровская улица, угол улицы Аммермана",platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7721047 59.987144),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7696533 59.9877253),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.76945 59.9878302),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7731688 59.9881267),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.77035 59.9886884),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7656762 59.9883667),,uncontrolled,,crossing,,,,,,,,,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7727107 59.9871135),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.773307 59.9880988),,,,give_way,,,,,,,,,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7734145 59.9881264),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7732897 59.987956),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7695093 59.9879034),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.773445 59.9881682),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7702505 59.9887083),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.783324 59.9861207),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7714271 59.9873168),,,,bus_stop,no,no,yes,yes,yes,Петровский парк,platform,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.772851 59.9870854),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7666878 59.9881737),,uncontrolled,,crossing,,,,,,,,,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7659187 59.988661, 29.7657929 59.9885198, 29.7657227 59.9884308, 29.7656762 59.9883667, 29.7656161 59.9883007, 29.7655042 59.9881601, 29.7648174 59.9872977, 29.7644776 59.9868848)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7717961 59.9907177, 29.7719339 59.9906906, 29.7722184 59.9906304, 29.7723349 59.9906058, 29.7730335 59.9904613, 29.7733083 59.9904049, 29.7735711 59.9903512, 29.7736635 59.9903312, 29.7742348 59.9902138, 29.7743545 59.9901898, 29.7744572 59.9901677, 29.7748903 59.9900747, 29.7749406 59.9900328)",,,,residential,,,,,yes,Манежный переулок,,,,,asphalt,2,RU:urban,yes,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749406 59.9900328, 29.7748993 59.9899797, 29.7743966 59.9893623)",,,,residential,,,,,yes,Красная улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7692781 59.9876582, 29.7692527 59.9876261)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7754247 59.9903943, 29.7753799 59.990336, 29.7752607 59.9901988, 29.7751466 59.9900619)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7694052 59.9877749, 29.7686642 59.9879232, 29.7679947 59.9880571, 29.7675341 59.9881442, 29.7674362 59.9881627)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7658342 59.9884064, 29.7657227 59.9884308, 29.765143 59.988553, 29.7645736 59.9886804, 29.763396 59.988927, 29.7625758 59.9890926, 29.7624751 59.9891007, 29.7623043 59.9891384)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7664885 59.9886465, 29.7666005 59.9887817)",,,,path,,,,,,,,,,,,,,,,,,,private,yes,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7800405 59.9880343, 29.7797617 59.9876617, 29.7801002 59.9876006, 29.7805239 59.9875143, 29.7799564 59.9868241, 29.7798922 59.9867458)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7805491 59.9866115, 29.7802299 59.9866767)",,,,tertiary,,,,,yes,Петровская улица,,,,,metal,2,RU:urban,,197762,,,,,,yes,1,Q109399097,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7800519 59.9867131, 29.7798922 59.9867458, 29.7798054 59.9867637, 29.7780555 59.9871232, 29.7777658 59.9871827, 29.7736142 59.9880357, 29.7733831 59.9880835)",,,,tertiary,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,Q4361182,,,,,,,,,,,,,,,,,,,
